Date Collected,Year,Plot,Sex,Weight,Species,Notes
7/16/2013,2013,2,F,,DM,
7/16/2013,2013,7,M,33,DM,
7/16/2013,2013,3,M,,DM,
7/16/2013,2013,1,M,,DM,
7/18/2013,2013,3,M,40,DM,
7/18/2013,2013,7,M,48,DM,
7/18/2013,2013,4,F,29,DM,
7/18/2013,2013,4,F,46,DM,
7/18/2013,2013,7,M,36,DM,
7/18/2013,2013,7,F,35,DM,
7/18/2013,2013,8,F,22,DM,
7/18/2013,2013,7,F,42,DM,
7/18/2013,2013,4,F,41,DM,
7/18/2013,2013,6,F,37,DM,
8/19/2013,2013,8,F,52,DO,
10/17/2013,2013,3,F,33,DO,
10/17/2013,2013,3,F,50,DO,
10/17/2013,2013,17,F,48,DO,
10/17/2013,2013,17,F,31,DO,
10/18/2013,2013,8,F,41,DO,
11/12/2013,2013,1,F,44,DO,
11/12/2013,2013,1,M,48,DO,
11/14/2013,2013,8,F,39,DO,
12/10/2013,2013,9,F,40,DO,
12/10/2013,2013,1,M,45,DO,
12/11/2013,2013,8,F,41,DO,
11/12/2013,2013,9,F,117,DS,
11/12/2013,2013,1,F,121,DS,
11/12/2013,2013,20,M,115,DS,
11/12/2013,2013,9,F,120,DS,
11/13/2013,2013,17,F,118,DS,
11/13/2013,2013,11,F,126,DS,
11/13/2013,2013,17,M,132,DS, (scale not calibrated)
11/13/2013,2013,14,F,113,DS, (scale not calibrated)
11/13/2013,2013,11,F,122,DS,
11/13/2013,2013,4,F,107,DS,
11/13/2013,2013,4,F,115,DS,
1/9/2014,2014,1,M,40,DM,
1/9/2014,2014,1,F,36,DM,
1/9/2014,2014,1,F,135,DS,
1/20/2014,2014,1,F,39,DM,
1/20/2014,2014,1,M,43,DM,
1/20/2014,2014,1,F,144,DS,
3/13/2014,2014,1,F,51,DM,
3/13/2014,2014,1,F,44,DM,
3/13/2014,2014,1,F,146,DS,
1/8/2014,2014,2,,,NA,
1/8/2014,2014,2,M,44,DM,
1/8/2014,2014,2,M,38,DM,
1/8/2014,2014,2,,,OL,
1/8/2014,2014,2,M,22,PE,
1/8/2014,2014,2,M,38,DM,
1/8/2014,2014,2,M,48,DM,
1/8/2014,2014,2,M,43,DM,
1/8/2014,2014,2,F,35,DM,
1/8/2014,2014,2,M,43,DM,
1/8/2014,2014,2,F,37,DM,
1/8/2014,2014,2,F,7,PF,
1/8/2014,2014,2,M,45,DM,
1/8/2014,2014,2,,,OT,
1/8/2014,2014,2,M,157,DS,not calibrated
1/8/2014,2014,2,,,OX,
2/18/2014,2014,2,M,218,NA,not calibrated
2/18/2014,2014,2,F,7,PF,
2/18/2014,2014,2,M,52,DM,
1/8/2015,2015,3,M,7,PF,
2/18/2015,2015,3,M,24,OT,
2/18/2015,2015,3,F,23,OT,
3/11/2015,2015,3,M,232,NA,
3/11/2015,2015,3,F,22,OT,
3/11/2015,2015,3,M,26,OT,
3/11/2015,2015,3,M,8,PF,
4/8/2015,2015,3,F,,NA,
5/6/2015,2015,3,,,,
5/18/2015,2015,3,F,182,NA,
6/9/2015,2015,3,F,29,OT,
7/8/2015,2015,3,F,115,NA,
7/8/2015,2015,3,M,190,NA,
1/8/1978,1978,4,F,37,DM,
1/8/1978,1978,4,F,128,DS,
1/8/1978,1978,4,F,42,DM,
1/8/1978,1978,4,M,37,DM,
1/8/1978,1978,4,M,,DM,
1/8/1978,1978,4,F,48,DM,
1/8/1978,1978,4,M,45,DM,
1/8/1978,1978,4,F,42,DM,
1/8/1978,1978,4,M,52,DO,
1/8/1978,1978,4,M,35,OL,
